sgRNA,Gene,Endura,Addgene
sg_10166,CNTN1,222.01796338251708,327.7411321943863
sg_3828,ATP9B,107.02659669785015,107.22395065618811
sg_13485,DPP4,79.1499017439915,80.92373634429292
sg_8031,CDH2,36.33926306485145,26.300214311895196
sg_42429,SDHC,136.894484148413,155.77819246276385
sg_50015,TAS1R1,693.9305851014099,706.0595996039557
sg_14539,EML2,166.76237159897582,218.49408812959086
sg_30789,MYL6B,228.48933899680569,232.65574198984214
sg_34640,OR51E2,228.98713712098174,194.21696722630298
sg_35169,OR6K3,169.7491603440321,182.07840677465907
sg_51756,TMEM117,205.5906252847075,196.24006063491032
sg_2050,AMIGO3,139.8812728934693,105.20085724758079
sg_35987,PAPOLG,484.357574823294,463.28839057107695
sg_44913,SLC25A45,137.8900803967651,129.47797815086867
sg_53093,TMEM25,350.94767754411333,339.87969264603026
sg_39747,PTPRU,232.47172399021406,147.68581882833456
sg_22594,IFNB1,249.39686021219967,252.88667607591537
sg_55535,TSPAN2,264.82860206165714,265.0252365275593
sg_272,ABCC12,164.77117910227165,220.5171815381982
sg_12369,DCSTAMP,493.3179410584628,586.6970884961237
sg_46727,SLC5A3,200.61264404294704,260.97904971034467
sg_19116,GLTPD2,204.09723091217936,287.27926402223983
sg_52592,TMEM19,211.06640465064402,232.65574198984214
sg_48518,SREBF2,78.65210361981546,72.83136270986363
sg_26969,LPAR1,149.8372353769902,214.44790131237622
sg_42235,SCN3B,503.27390354198377,582.650901678909
sg_347,ABCC9,434.0799642815132,424.8496158075378
sg_5704,C3,141.87246539017346,188.14768700048103
sg_1913,ALKBH5,67.20274676376637,99.13157702175882
sg_33754,OR11L1,474.8994104639491,485.5424180657575
sg_21145,HCN1,557.0361009529969,683.8055721092751
sg_50579,TF,67.20274676376637,89.01610997872221
sg_35385,OR8I2,331.53355070124746,297.39473106527646
sg_18367,GCNT4,93.58604734509689,117.33941769922473
sg_29437,MGAM,422.6306074254641,392.48012126982064
sg_2835,ARMCX3,190.6566815594261,135.54725837669062
sg_9919,CMTM6,284.74052702869903,279.18689038781054
sg_33890,OR1F1,284.24272890452295,263.00214311895195
sg_10003,CNGB3,175.22493970996862,212.4248079037689
sg_47938,SOGA3,226.49814650010148,228.6095551726275
sg_25715,KLRB1,230.4805314935099,190.17078040908837
sg_18574,GGT2,148.34384100446206,119.36251110783205
sg_21877,HS3ST2,195.63466280118658,159.8243792799785
sg_29870,MMP15,543.0977534760675,697.9672259695265
sg_689,ACER1,149.33943725281418,119.36251110783205
sg_48172,SPG7,344.4763019298247,345.9489728718522
sg_33815,OR13H1,237.94750335615058,248.84048925870073
sg_13151,DNAJC1,219.52897276163682,218.49408812959086
sg_49702,SYT12,72.6785261297029,68.78517589264898
sg_44653,SLC22A7,302.1634613748607,339.87969264603026
sg_7693,CD7,247.40566771549547,240.74811562427143
sg_20485,GREM1,488.8377579408784,505.77335215183075
sg_41851,S1PR3,311.12382761002954,347.97206628045956
sg_28964,MDGA2,124.94732916818786,155.77819246276385
sg_56083,UBA5,374.8419875045636,242.77120903287874
sg_34684,OR51J1,127.4363197890681,159.8243792799785
sg_11437,CTSK,83.1322867373999,54.623522032397716
sg_6835,CCDC47,234.9607146110943,184.10150018326638
sg_7436,CD34,36.33926306485145,74.85445611847095
sg_52648,TMEM200C,136.39668602423694,135.54725837669062
sg_40807,RNF133,50.277610541780774,36.41568135493181
sg_28700,MARVELD2,70.6873336329987,121.38560451643937
sg_43126,SEZ6,472.90821796724487,465.3114839796843
sg_15993,FAM198B,216.54218401658056,329.76422560299363
sg_47607,SMIM12,93.08824922092083,103.17776383897346
sg_3467,ATP1B3,50.277610541780774,32.369494537717166
sg_24586,KCNH2,118.97375167807529,105.20085724758079
sg_22243,HTR3C,198.62145154624284,234.67883539844945
sg_33333,OLFM1,442.04473426832993,424.8496158075378
sg_48630,SSTR1,83.1322867373999,24.277120903287873
sg_44691,SLC23A2,55.75338990771729,38.438774763539136
sg_16733,FFAR3,222.01796338251708,147.68581882833456
sg_46047,SLC38A9,28.87229120221074,44.508054989361106
sg_52749,TMEM212,266.3219964341853,275.1407035705959
sg_6285,CADM1,318.59079947267026,376.29537400096206
sg_46589,SLC4A8,512.2342697771526,584.6739950875163
sg_38908,PRR7,81.1410942406957,72.83136270986363
sg_32180,nontargeting,414.1680393144713,443.05745648500374
sg_5905,C7orf60,200.61264404294704,297.39473106527646
sg_18536,GFRA4,219.0311746374608,173.98603314022978
sg_10764,CPED1,107.02659669785015,101.15467043036614
sg_24659,KCNIP3,566.9920634365178,530.0504730551186
sg_18647,GHRL,535.1329834892508,554.3275939584065
sg_23758,ITGA5,165.76677535062373,109.24704406479543
sg_23826,ITGAE,565.4986690639896,580.6278082703017
sg_44281,SLC17A9,282.7493345319948,341.90278605463755
sg_85,ABCA13,59.735774901125666,97.10848361315149
sg_45400,SLC30A3,143.3658597627016,212.4248079037689
sg_54236,TMX2,44.304033051668206,56.64661544100504
sg_18281,GAS1,514.7232603980328,473.4038576141136
sg_15576,F3,230.4805314935099,260.97904971034467
sg_45377,SLC30A1,241.43209022538292,283.2330772050252
sg_16152,FAM35A,401.2252880858941,469.3576707968989
sg_35778,P2RY1,72.6785261297029,101.15467043036614
sg_52858,TMEM225,320.0841938451984,325.71803878577896
